43.7,38.57
22.47,6.41
26.09,8.72
36.18,27.45
18.24,1.89
43.8,43.59
22.37,6.45
20.73,5.15
51.23,76.2
48.83,51.96
47.22,57.9
45.77,57.83
20.71,5.77
24.82,7.15
22.94,6.94
26.17,9.7
43.95,44.7
42.65,42.93
26.42,9.64
24.07,7.45
28.85,10.22
56.45,98.67
47.67,54.76
42.63,44.32
42.7,43.46
28.32,10.53
48.01,49.47
43.99,39.89
17.06,4.86
46.01,54.8
28.93,10.94
28.2,10.49
18.23,01.09
26.12,8.54
24.23,07.03
35.06,25.44
18.37,4.42
55.1,99.28
26.77,9.34
50.36,73.67
28.37,10.55
24.78,7.13
51.05,70.91
17.94,2.48
50.5,76.83
28.18,10.14
22.87,6.9
24.23,7.62
52.4,78.24
22.2,6.89
24.32,7.21
22.75,6.15
35.04,27.35
40.44,44.56
46.37,50.43
26.58,8.5
42.08,38.05
22.46,6.49
28.3,11.43
47.88,50.72
26.01,9.96
43.79,39.56
46.49,58.32
24.92,7.24
20.02,5.69
38.12,25.2
22.71,6.23
55.67,109.1
48.29,49.71
22.27,7.0
26.81,9.97
52.94,71.34
35.02,24.98
22.23,6.21
17.12,03.04
58.42,103.67
40.88,44.6
22.65,6.2
37.4,27.95
26.87,9.11
22.41,6.25
17.53,1.25
57.41,97.57
52.74,70.58
55.48,100.56
17.03,1.73
56.64,96.72
57.87,105.75
51.66,79.24
47.38,54.24
53.22,69.38
55.8,101.2
17.64,4.54
24.89,7.59
28.49,10.45
51.06,69.57
24.78,7.63
56.27,99.42
24.67,7.72
42.72,41.11
22.23,6.48
57.45,91.59
24.25,7.26
28.32,11.09
45.52,55.46
20.45,5.41
18.64,4.18
35.85,28.71
26.8,09.04
22.6,6.75
18.4,2.4
37.54,28.68
20.79,5.88
22.15,6.21
50.19,77.23
48.04,51.17
20.69,5.13
28.64,10.33
35.65,27.16
24.93,8.13
43.79,43.34
22.29,06.01
20.13,5.28
28.73,11.35
21.0,5.76
26.76,8.89
18.41,03.03
56.75,92.91
36.92,28.0
38.35,24.71
58.0,91.95
22.98,6.16
40.25,37.32
17.6,2.69
58.45,105.75
22.4,06.08
28.1,11.19
24.15,8.34
24.09,7.17
52.91,69.05
40.36,41.56
50.36,79.67
28.3,10.81
43.31,42.82
40.78,44.73
35.04,27.4
28.02,11.24
43.24,37.93
22.48,6.27
48.07,57.37
53.56,80.17
58.92,103.23
36.5,29.5
24.86,7.34
24.25,8.22
43.26,40.96
18.76,2.86
26.79,8.53
28.27,10.38
28.64,10.18
20.31,05.08
36.55,27.88
43.41,38.19
26.8,9.5
45.61,58.95
48.61,58.91
26.2,8.63
24.14,7.39
28.45,10.7
58.21,103.59
24.62,8.31
20.5,5.46
46.56,56.25
51.27,78.88
18.68,3.38
50.07,79.49
51.33,79.82
37.52,25.19
26.6,09.09
22.4,6.99
36.8,29.28
17.1,03.01
28.41,11.29
48.93,53.58
22.18,6.73
24.56,7.53
48.72,51.74
56.61,92.36
28.27,10.35
24.13,7.89
56.7,93.28
26.76,8.75
55.86,108.16
28.6,10.3
22.99,6.36
22.64,6.52
35.13,26.81
20.83,5.23
26.21,8.62
45.82,55.65
22.15,7.0
26.25,9.94
51.59,72.49
46.55,57.4
22.14,6.36
50.38,71.54
26.08,9.62
20.6,5.83
24.56,7.42
48.27,52.66
20.3,5.12
